lambda,ndcg@10,wght_scheme
0.05,0.01632965098913002,inverse
0.1,0.01603608066600821,inverse
0.15,0.015836268725,inverse
0.2,0.015592413884103734,inverse
0.25,0.015406669590722916,inverse
0.3,0.015335989571401813,inverse
0.35,0.015373089070807257,inverse
0.4,0.015334513148221018,inverse
0.45,0.015407295823051856,inverse
0.5,0.01535830335151344,inverse
0.55,0.015264663253180778,inverse
0.6,0.015091570587140661,inverse
0.65,0.01463237129737558,inverse
0.7,0.014096127165188072,inverse
0.75,0.013488417735140954,inverse
0.8,0.012921854447640529,inverse
0.85,0.012413338163181008,inverse
0.9,0.011897932262819705,inverse
0.95,0.011275031642341804,inverse
0.05,0.01513729016040626,linear
0.1,0.014646262550759933,linear
0.15,0.014354972414010068,linear
0.2,0.014114328343493618,linear
0.25,0.01382721967831847,linear
0.3,0.013844806157864598,linear
0.35,0.013627328360978356,linear
0.4,0.013624990811417168,linear
0.45,0.013637180665694587,linear
0.5,0.013677063416423807,linear
0.55,0.013646558537364782,linear
0.6,0.013284447051749767,linear
0.65,0.012880068933219954,linear
0.7,0.012508112074010052,linear
0.75,0.011951797794240777,linear
0.8,0.01141230445943456,linear
0.85,0.010896472165848955,linear
0.9,0.010307465982319847,linear
0.95,0.009741106142110762,linear
0.0,0.016719147275660942,inverse
0.0,0.01574433435939527,linear
1.0,0.009321486930904566,inverse
1.0,0.007711655538890477,linear
