n_components, reg, ndcg@10
1140,0.007,0.11366799196234136
10,0.001,0.0007044194088260882
10,0.01,0.020410710847516406
10,0.1,0.039738357876750355
10,0.2,0.033132878764725815
10,0.5,0.032989771806288405
100,0.001,0.10409177296131668
100,0.01,0.10660511024292867
100,0.1,0.09406411458719696
100,0.2,0.09306890051614143
100,0.5,0.09008551346845498
200,0.001,0.10546467964317488
200,0.01,0.11002575638990224
200,0.1,0.09993524717462936
200,0.2,0.09746176185014335
200,0.5,0.09492781610022152
500,0.001,0.10864813040024796
500,0.01,0.11133375647343824
500,0.1,0.10275809543300654
500,0.2,0.10051207253426442
500,0.5,0.10052529294752802
1000,0.001,0.11564123328758794
1000,0.01,0.11158725017365353
1000,0.1,0.10293260274817315
1000,0.2,0.10126779899459228
1000,0.5,0.10106746256146211
800,0.0005,0.10849318042177548
800,0.001,0.11086932907257206
800,0.002,0.11247265553022111
800,0.003,0.11115525188184035
800,0.004,0.11293929938310682
900,0.0005,0.11019218652781586
900,0.001,0.11266756843896186
900,0.002,0.11479930280557354
900,0.003,0.11512968569581913
900,0.004,0.11521390501152928
1000,0.0005,0.11327922163311983
1000,0.001,0.11564123328758794
1000,0.002,0.11698197757476923
1000,0.003,0.11675911774365136
1000,0.004,0.1148954535577437
1100,0.0005,0.11001593780103042
1100,0.001,0.1128468227847765
1100,0.002,0.1138248689869942
1100,0.003,0.11604064990158425
1100,0.004,0.11494246905092263
1200,0.0005,0.10971546457230322
1200,0.001,0.1110787311533445
1200,0.002,0.11561494337803202
1200,0.003,0.11219097335548703
1200,0.004,0.11491430795588156
960,0.001,0.11209548617028531
960,0.0015,0.11446848954863896
960,0.002,0.11423938334200653
960,0.0025,0.11517350156153683
960,0.003,0.1173769941716586
980,0.001,0.11400614088199311
980,0.0015,0.1146844205181473
980,0.002,0.11596534671652065
980,0.0025,0.1155801119191482
980,0.003,0.1165250853924311
1000,0.001,0.11564123328758794
1000,0.0015,0.11544131222478131
1000,0.002,0.11698197757476923
1000,0.0025,0.1170537556691129
1000,0.003,0.11675911774365136
1020,0.001,0.1128050833116498
1020,0.0015,0.11415874450239089
1020,0.002,0.11391215934953058
1020,0.0025,0.11521731316202821
1020,0.003,0.11480712122981475
1040,0.001,0.1127366027641857
1040,0.0015,0.11408112186137057
1040,0.002,0.11458784655035886
1040,0.0025,0.1134304260007337
1040,0.003,0.1146575943513667
960,0.0035,0.1167839183005224
960,0.004,0.11587843923571624
960,0.0045,0.11748682347821282
960,0.005,0.11752921665119562
980,0.0035,0.11632512697260261
980,0.004,0.11476598062473971
980,0.0045,0.11513531342011121
980,0.005,0.11546688411967194
1000,0.0035,0.11499112692685784
1000,0.004,0.1148954535577437
1000,0.0045,0.11523341674658576
1000,0.005,0.11536089262862105
1020,0.0035,0.11516288773902235
1020,0.004,0.11513685354776519
1020,0.0045,0.11533737211803667
1020,0.005,0.11627028130759262
1040,0.0035,0.115247237897946
1040,0.004,0.114971609862941
1040,0.0045,0.11538637571800611
1040,0.005,0.11524959270291892
920,0.001,0.11320461868110938
920,0.0015,0.11403183055791134
920,0.002,0.11185271195321701
920,0.0025,0.11459100277012231
920,0.003,0.1147238984608425
920,0.0035,0.11491033245865721
920,0.004,0.11550016047376047
920,0.0045,0.11593271000054672
920,0.005,0.1160951620978672
940,0.001,0.11373189927311145
940,0.0015,0.11474913538106317
940,0.002,0.11523682108776682
940,0.0025,0.11479637201306948
940,0.003,0.1147731987612549
940,0.0035,0.11608274407053705
940,0.004,0.11618261887409322
940,0.0045,0.1152186703694317
940,0.005,0.11501111031741246
920,0.0055,0.11704670027901966
920,0.006,0.11726377554436575
940,0.0055,0.11496744722722738
940,0.006,0.11554975565984951
960,0.0055,0.11724051849153196
960,0.006,0.11687581117559762
980,0.0055,0.11545927701950821
980,0.006,0.11559048429052121
1000,0.0055,0.11575738944387447
1000,0.006,0.11544289014521258
1020,0.0055,0.11549032528755063
1020,0.006,0.1142600468792345
1040,0.0055,0.11548274647962783
1040,0.006,0.11551929616242686
920,0.0065,0.11692116858638005
920,0.007,0.11654158356650748
940,0.0065,0.11561469305675408
940,0.007,0.11543138463955929
960,0.0065,0.11646791131345137
960,0.007,0.11599684491835137
980,0.0065,0.1153856894978364
980,0.007,0.11534245107544525
1000,0.0065,0.11499598754267741
1000,0.007,0.11442574324334769
1020,0.0065,0.11377209579010006
1020,0.007,0.11331407935781705
1040,0.0065,0.11655841877098015
1040,0.007,0.11576596206096328
