lambda,ndcg@10
0.8,0.11804022983093293
0.85,0.11785779549974248
0.9,0.11773266703770174
0.95,0.11761358347295074
0.65,0.11851972531870701
0.7,0.11833420750994292
0.75,0.11819212889879753
0.05,0.12208264390578175
0.1,0.12260654110275657
0.15,0.12187831478830036
0.2,0.1212007159095008
0.25,0.12061772392145645
0.3,0.12025041130081582
0.35,0.11996428057266381
0.4,0.11967832428320638
0.45,0.1193363724847906
0.5,0.11908080316745073
0.55,0.11893584599851201
0.07,0.1228467158197552
0.08,0.12289776460816083
0.09,0.1227906287651272
0.11,0.1224652663131197
0.12,0.12228623096876937
0.13,0.12216730458592408
0.6,0.11871795405704605
0.04,0.12052786153218066
0.06,0.12272670445429351
