n_components, damping, reg, ndcg@10
10,1.0,0.01,0.002740035740591682
10,1.0,0.05,0.005821149546534657
10,1.0,0.1,0.001925346580822728
10,5.0,0.01,0.004195284172246919
10,5.0,0.05,0.009435589197303623
10,5.0,0.1,0.005343483693105184
10,10.0,0.01,0.0050547703454394115
10,10.0,0.05,0.013083668350758684
10,10.0,0.1,0.0075305060171801
20,1.0,0.01,0.010110689463645753
20,1.0,0.05,0.008618496345326555
20,1.0,0.1,0.0018446973963153607
20,5.0,0.01,0.013407658582447853
20,5.0,0.05,0.01429313652972999
20,5.0,0.1,0.005718821889836512
20,10.0,0.01,0.015002617763419455
20,10.0,0.05,0.01818318677284103
20,10.0,0.1,0.009361791841577016
30,1.0,0.01,0.017316558961285256
30,1.0,0.05,0.010063346326073086
30,1.0,0.1,0.0023799619557572597
30,5.0,0.01,0.020740997231378004
30,5.0,0.05,0.016214197989689337
30,5.0,0.1,0.006083162094166842
30,10.0,0.01,0.025439190632357934
30,10.0,0.05,0.021624441788196568
30,10.0,0.1,0.010168866120793542
40,1.0,0.01,0.021409543934243443
40,1.0,0.05,0.010274807713245949
40,1.0,0.1,0.00291980993562432
40,5.0,0.01,0.029442481231023616
40,5.0,0.05,0.017040278695729758
40,5.0,0.1,0.006393619031530052
40,10.0,0.01,0.03387960573841014
40,10.0,0.05,0.023315590292058264
40,10.0,0.1,0.010535407797575332
50,1.0,0.01,0.023909424515723473
50,1.0,0.05,0.011015970589890182
50,1.0,0.1,0.0027005219469729445
50,5.0,0.01,0.03219334543622102
50,5.0,0.05,0.01769802312978636
50,5.0,0.1,0.006263148895257496
50,10.0,0.01,0.03839837301134039
50,10.0,0.05,0.024717418993707826
50,10.0,0.1,0.010533259121923336
