genre,proportion,recommender
Aktualitet,0.2974907809782632,train
Fakta og debat,0.24884308220846313,train
Nyheder,0.14015583671969473,train
Livsstil,0.0768298102355711,train
Unge,0.0715750746708713,train
Kultur,0.04734710097552847,train
Historie,0.034998098510000984,train
Musik,0.03268586530613989,train
-,0.029057544642284865,train
Sport,0.011217188614988868,train
Dokumentar,0.007911480299281707,train
Underholdning,0.001022317937673858,train
NN,0.0008631482692167998,train
Kor og orkestre,2.6706320210915836e-06,train
Fakta og debat,0.5235478944689217,cf_recommendations
Aktualitet,0.29096877249030173,cf_recommendations
Nyheder,0.08718952412715687,cf_recommendations
Unge,0.0867998385086626,cf_recommendations
Livsstil,0.011493970404957083,cf_recommendations
Underholdning,0.0,cf_recommendations
Musik,0.0,cf_recommendations
Historie,0.0,cf_recommendations
-,0.0,cf_recommendations
Kor og orkestre,0.0,cf_recommendations
Kultur,0.0,cf_recommendations
Dokumentar,0.0,cf_recommendations
NN,0.0,cf_recommendations
Sport,0.0,cf_recommendations
